Target_Class;p_tag_count;comma_count;colon_count;hyphen_count;TTR;Compound;Positive;Neutral;Negative;FleschK_score;CC;PRP;PRP$;IN;NNP;period_count
Detective and Mystery;348;775;16;106;0.2737115634473798;0.9996;0.17600000000000002;0.6759999999999999;0.14800000000000002;51.46908468624537;6.0;3.0;0.0;140.0;4.0;84060
Detective and Mystery;422;930;20;158;0.26967663209273945;0.9999;0.20199999999999999;0.649;0.149;52.377743464589116;9.0;2.0;0.0;143.0;3.0;99674
Detective and Mystery;376;794;21;121;0.29832669322709165;1.0;0.204;0.6729999999999999;0.12300000000000001;50.1221323478018;3.0;2.0;0.0;99.0;3.0;76767
Literary;473;1164;39;232;0.280416471689284;1.0;0.21100000000000002;0.6659999999999999;0.12300000000000001;62.02820405594903;8.0;3.0;0.0;220.0;1.0;105056
Literary;1465;3139;62;633;0.21873882465132916;1.0;0.209;0.6559999999999999;0.135;48.578841732499;25.0;6.0;3.0;687.0;8.0;313467
Literary;3322;11916;70;5768;0.1234171828145665;1.0;0.265;0.608;0.126;52.774245946542976;60.0;34.0;6.0;1823.0;32.0;938720
Western Stories;2375;2447;22;463;0.1986523505148147;1.0;0.24100000000000002;0.635;0.124;53.42265913666618;18.0;3.0;2.0;720.0;20.0;388021
Literary;2457;5997;145;2154;0.14596218413147197;1.0;0.24600000000000002;0.604;0.15;57.817786030302784;30.0;2.0;2.0;1053.0;11.0;484226
Literary;1271;3169;48;1205;0.19815273710295112;1.0;0.223;0.6920000000000001;0.085;51.193455937116305;26.0;3.0;2.0;636.0;8.0;276114
Detective and Mystery;3070;5289;6;711;0.15038061668789432;1.0;0.228;0.648;0.124;47.15570663242789;21.0;3.0;1.0;821.0;7.0;428621
Detective and Mystery;1193;4179;101;636;0.1753457104044028;1.0;0.21899999999999997;0.64;0.141;44.32541132235608;29.0;3.0;3.0;668.0;4.0;364531
Literary;1378;4138;253;491;0.2550810278449279;1.0;0.218;0.636;0.145;39.19292315327198;16.0;4.0;1.0;589.0;10.0;284508
Detective and Mystery;1958;4761;150;986;0.1579230997224692;1.0;0.212;0.6409999999999999;0.147;44.9056857893745;35.0;4.0;2.0;907.0;2.0;468815
Literary;1957;7869;121;1521;0.15865514691293447;1.0;0.205;0.677;0.11800000000000001;40.78335822820017;58.0;7.0;2.0;1440.0;31.0;663216
Literary;2150;5341;179;838;0.1609208646356639;1.0;0.196;0.667;0.13699999999999998;48.19492763646625;37.0;7.0;11.0;1002.0;19.0;537601
Literary;1253;6488;51;1046;0.2022011094063496;1.0;0.243;0.617;0.14;42.414536822697045;20.0;3.0;4.0;632.0;22.0;426761
Literary;226;1254;14;228;0.3494698660714285;1.0;0.201;0.665;0.135;55.72167227250492;5.0;1.0;1.0;186.0;3.0;86620
Detective and Mystery;1909;5099;3;975;0.16048427878751825;1.0;0.203;0.657;0.14;56.12310416501981;21.0;2.0;0.0;843.0;13.0;408740
Literary;1746;6946;73;555;0.1342539115824845;1.0;0.23600000000000002;0.68;0.084;47.33276522396682;25.0;11.0;1.0;954.0;40.0;495035
Literary;1002;2000;22;764;0.26376356741205703;1.0;0.205;0.649;0.146;52.77718503043988;17.0;1.0;0.0;422.0;;197241
Detective and Mystery;1787;4437;65;553;0.15110044617749616;1.0;0.19699999999999998;0.655;0.149;57.38750847149458;23.0;1.0;3.0;712.0;7.0;332504
Literary;2145;7124;42;2270;0.1546612790170288;1.0;0.17800000000000002;0.696;0.127;50.72011502399614;72.0;9.0;0.0;1380.0;23.0;607441
Western Stories;1795;5228;85;693;0.1467284819383503;1.0;0.158;0.7070000000000001;0.135;67.08272658601611;23.0;2.0;3.0;1038.0;11.0;417480
Literary;1880;4446;170;1026;0.16454965357967669;1.0;0.18899999999999997;0.703;0.10800000000000001;74.22138433605446;17.0;8.0;3.0;739.0;30.0;310668
Literary;686;4713;186;991;0.2316400924663624;1.0;0.237;0.596;0.16699999999999998;36.568624213395225;41.0;5.0;3.0;874.0;25.0;412382
Detective and Mystery;595;2196;60;334;0.25896082245068075;1.0;0.205;0.647;0.14800000000000002;49.25562816818356;17.0;1.0;2.0;359.0;;178191
Literary;1325;5244;12;1073;0.17389392690299532;1.0;0.21;0.6609999999999999;0.129;49.22075215131386;29.0;4.0;1.0;814.0;13.0;451763
Literary;678;1739;33;418;0.2813733784545968;1.0;0.231;0.643;0.126;41.80253331218275;9.0;1.0;0.0;315.0;7.0;178581
Literary;450;2296;67;168;0.2030986443430999;1.0;0.22;0.621;0.159;61.73437532497016;5.0;7.0;1.0;375.0;7.0;188559
Literary;2619;5593;43;2246;0.15138012130214135;1.0;0.222;0.631;0.146;60.38099484047004;35.0;6.0;3.0;1046.0;19.0;494812
Literary;226;676;28;100;0.4004559270516717;0.9999;0.218;0.6509999999999999;0.131;56.022827298050146;;2.0;0.0;92.0;2.0;47713
Literary;2016;6367;92;814;0.15944301574358652;1.0;0.267;0.595;0.138;45.17263299148488;22.0;5.0;2.0;872.0;10.0;407444
Literary;503;3838;69;424;0.20507894369149085;1.0;0.231;0.628;0.141;27.78532138294145;21.0;4.0;2.0;800.0;19.0;340980
Western Stories;243;743;13;225;0.36641221374045796;0.9998;0.16899999999999998;0.7070000000000001;0.124;50.5364107512089;8.0;;0.0;156.0;1.0;76151
Literary;1597;5319;46;1175;0.18397855435071364;1.0;0.185;0.688;0.127;51.502764379379606;23.0;3.0;4.0;958.0;26.0;492512
Literary;2512;6546;30;1231;0.14906850266142094;1.0;0.244;0.629;0.127;59.442256546489254;16.0;3.0;5.0;688.0;24.0;411338
Detective and Mystery;1007;2810;52;297;0.22390054805507284;-0.9987;0.152;0.698;0.151;47.52019371923629;14.0;3.0;1.0;314.0;5.0;190936
Detective and Mystery;697;2270;22;332;0.24370727159726535;-0.9998;0.147;0.684;0.16899999999999998;52.06158464125721;15.0;2.0;1.0;289.0;4.0;159001
Literary;1535;8131;59;1913;0.13741614806433364;1.0;0.201;0.68;0.11900000000000001;68.88691600148739;33.0;9.0;1.0;1161.0;26.0;595954
Literary;309;3269;297;869;0.2951135747424233;1.0;0.3;0.539;0.161;39.321942517220386;16.0;5.0;3.0;382.0;4.0;195207
Literary;105;1291;74;461;0.36982314752630396;0.9999;0.20800000000000002;0.687;0.10400000000000001;49.22549516453998;11.0;1.0;1.0;143.0;;58680
Literary;896;2944;25;407;0.21324918229142675;1.0;0.22399999999999998;0.7020000000000001;0.07400000000000001;49.484784214585886;17.0;4.0;0.0;631.0;6.0;277856
Literary;2372;5434;113;2359;0.13925126988744435;1.0;0.21899999999999997;0.635;0.146;58.21408872180524;22.0;9.0;3.0;1059.0;36.0;524919
Literary;2499;3573;10;822;0.17186942850659664;1.0;0.2;0.655;0.145;57.23235587042206;25.0;7.0;1.0;973.0;11.0;388394
Literary;2699;4075;71;1237;0.14381203836770162;1.0;0.222;0.6509999999999999;0.126;57.92494819697919;31.0;7.0;0.0;868.0;17.0;396056
Literary;2654;14030;20;1764;0.11997190024587286;1.0;0.289;0.5660000000000001;0.14400000000000002;41.36054536025753;43.0;17.0;2.0;1563.0;16.0;871043
Literary;1763;18809;1742;4690;0.16016938156854882;1.0;0.264;0.5770000000000001;0.159;38.81449407029029;77.0;35.0;4.0;2035.0;21.0;1007970
Literary;556;2653;17;237;0.27595701813297513;1.0;0.21600000000000003;0.662;0.122;54.341266724919855;20.0;4.0;1.0;332.0;8.0;182392
Love and Romance;308;1610;42;243;0.3433562428407789;1.0;0.294;0.595;0.111;30.109404153950265;7.0;7.0;0.0;183.0;1.0;129524
Literary;1317;4550;84;553;0.2115826805409408;1.0;0.272;0.5589999999999999;0.16899999999999998;38.777514570023534;31.0;3.0;6.0;591.0;36.0;316872
Love and Romance;1720;3411;47;673;0.1849715428395632;1.0;0.222;0.645;0.133;56.19307574795454;15.0;8.0;2.0;580.0;14.0;322370
Sea and Adventure;619;6280;48;1000;0.17029961629520776;1.0;0.188;0.723;0.08900000000000001;38.94931080056807;29.0;3.0;6.0;1097.0;14.0;447041
Sea and Adventure;1638;8381;9;958;0.1797990917847805;1.0;0.191;0.6729999999999999;0.136;50.36252317204378;31.0;7.0;1.0;972.0;17.0;447688
Literary;1882;4470;117;1617;0.15431966023332078;1.0;0.261;0.627;0.11199999999999999;46.48254253122283;24.0;6.0;3.0;878.0;25.0;477518
Sea and Adventure;1889;14284;201;3251;0.16310285155368295;1.0;0.217;0.645;0.138;39.40606735267394;68.0;8.0;8.0;1564.0;26.0;822296
Literary;768;3236;115;994;0.2460640859418411;1.0;0.198;0.7240000000000001;0.078;38.826806341206286;24.0;4.0;0.0;477.0;4.0;263507
Literary;3451;10199;49;2350;0.1291991143686059;1.0;0.259;0.5720000000000001;0.16899999999999998;54.2629055522456;45.0;23.0;2.0;1421.0;17.0;661714
Literary;2807;7781;30;2258;0.1429734286877144;1.0;0.231;0.628;0.142;49.61085185185186;49.0;19.0;2.0;1185.0;19.0;630785
Literary;2144;4459;185;1308;0.19945961594132972;1.0;0.203;0.645;0.152;39.28205219579181;38.0;10.0;0.0;956.0;10.0;527194
Literary;1473;4026;49;813;0.2384815747897007;1.0;0.221;0.657;0.122;50.01450848684485;15.0;7.0;1.0;625.0;15.0;291606
Literary;3769;11413;134;4074;0.10616501286291803;1.0;0.257;0.619;0.124;47.989792715972875;69.0;9.0;3.0;1634.0;18.0;796084
Literary;1209;5259;72;768;0.2302841542661591;1.0;0.20600000000000002;0.665;0.128;43.38194616411971;12.0;8.0;1.0;493.0;5.0;323409
Literary;3827;11835;142;1552;0.1275084987388968;1.0;0.23;0.602;0.168;37.302730185852205;23.0;47.0;7.0;1503.0;19.0;899651
Literary;2710;6888;45;2736;0.13704443810067565;1.0;0.225;0.623;0.152;46.09329602779212;36.0;5.0;3.0;1162.0;9.0;647114
Literary;439;2463;20;236;0.2960518274049627;1.0;0.196;0.655;0.149;36.10419313531355;13.0;1.0;2.0;531.0;7.0;195372
Sea and Adventure;1888;3809;41;595;0.18116352272469935;1.0;0.203;0.645;0.152;42.061997227988634;22.0;3.0;0.0;1032.0;20.0;538962
Literary;572;3304;246;715;0.2039449060558425;1.0;0.239;0.64;0.12;41.26808344010672;15.0;1.0;2.0;412.0;4.0;337734
Literary;1253;3306;22;400;0.19287440185720375;1.0;0.233;0.639;0.128;48.30721566983431;8.0;2.0;1.0;434.0;19.0;258111
Literary;2644;5360;61;747;0.1787430967478012;1.0;0.22899999999999998;0.65;0.121;47.93420449478526;35.0;7.0;0.0;843.0;24.0;484176
Literary;1001;4177;3;734;0.20046736771824405;1.0;0.203;0.688;0.109;53.797699150211145;19.0;5.0;1.0;631.0;15.0;289269
Literary;1306;6543;51;746;0.1615431786066601;1.0;0.22;0.65;0.13;49.322293083056344;22.0;3.0;4.0;875.0;8.0;468428
Literary;270;1152;8;165;0.3753965964811076;1.0;0.22;0.637;0.14400000000000002;47.38655813240862;5.0;;1.0;165.0;1.0;85410
Literary;553;1610;75;272;0.2930923176242737;1.0;0.22399999999999998;0.632;0.14400000000000002;50.04717552453197;1.0;3.0;0.0;225.0;3.0;121937
Literary;236;691;5;125;0.4075609756097561;0.9999;0.23;0.648;0.122;48.47471380312143;;1.0;1.0;96.0;1.0;52645
Literary;4446;14136;279;2938;0.12244835734430977;1.0;0.273;0.574;0.153;49.4695766855823;64.0;22.0;5.0;1933.0;14.0;821316
Literary;2119;4817;215;678;0.16976565590747247;1.0;0.187;0.64;0.17300000000000001;28.760966044447546;129.0;11.0;2.0;1040.0;40.0;500458
Literary;68;773;0;142;0.4445096887844979;0.9999;0.16;0.737;0.102;42.96981268823521;2.0;1.0;0.0;132.0;1.0;59897
Literary;437;2308;1;328;0.2948056944978838;0.9999;0.18600000000000003;0.657;0.157;43.86648117757946;7.0;2.0;2.0;294.0;3.0;162620
Literary;322;1146;1;184;0.35379061371841153;1.0;0.24600000000000002;0.643;0.111;51.629558836982774;7.0;;3.0;160.0;4.0;78512
Literary;390;1780;3;220;0.3291113170631243;0.9998;0.184;0.659;0.157;53.788363046693604;11.0;2.0;1.0;219.0;4.0;113790
Literary;799;3394;24;419;0.237417099377924;1.0;0.18899999999999997;0.685;0.126;56.537520403694;12.0;3.0;2.0;552.0;9.0;242258
Literary;2951;11560;149;2139;0.1547101721675062;1.0;0.2;0.6709999999999999;0.129;54.25545508618859;51.0;10.0;3.0;1628.0;32.0;834858
Literary;145;792;14;107;0.43682822956803896;0.9994;0.182;0.6659999999999999;0.152;45.32184855274142;5.0;1.0;0.0;138.0;1.0;61120
Literary;980;1650;22;311;0.21860541969596828;1.0;0.221;0.664;0.11599999999999999;57.38518522685194;17.0;5.0;1.0;316.0;12.0;218303
Literary;195;1538;15;155;0.3708062351605244;1.0;0.22699999999999998;0.655;0.11800000000000001;30.429653195003624;8.0;2.0;2.0;377.0;5.0;116260
Literary;1310;2389;33;438;0.21351478179258565;0.9999;0.187;0.65;0.163;58.30933696063204;9.0;5.0;0.0;426.0;12.0;218134
Detective and Mystery;2571;6156;7;1039;0.13090556483327048;1.0;0.201;0.679;0.12;47.04736103975557;24.0;2.0;0.0;1010.0;45.0;474798
Love and Romance;1275;4971;20;824;0.16623698050943592;1.0;0.258;0.609;0.133;56.349887239143136;28.0;12.0;3.0;518.0;9.0;356051
Literary;4693;12259;141;3184;0.10676516799613246;1.0;0.253;0.61;0.13699999999999998;62.18657876984992;38.0;12.0;5.0;1562.0;33.0;832431
Literary;143;723;39;132;0.39325388810341344;1.0;0.26;0.613;0.127;49.23846950278226;4.0;1.0;2.0;80.0;5.0;61816
Literary;274;1197;51;300;0.3268066927732289;1.0;0.252;0.596;0.152;40.756198005703055;2.0;3.0;0.0;175.0;1.0;107740
Literary;359;1381;74;245;0.2966670458423388;1.0;0.205;0.648;0.147;55.67894385988296;7.0;;1.0;215.0;3.0;109476
Literary;1413;8376;10;1025;0.16364080039043435;1.0;0.242;0.594;0.16399999999999998;46.01756404166622;22.0;8.0;0.0;999.0;17.0;489972
Sea and Adventure;1111;7978;35;1600;0.1455456882954128;1.0;0.159;0.7020000000000001;0.139;37.75157989632979;55.0;12.0;4.0;1223.0;13.0;576440
Literary;1493;4203;29;678;0.20268495549394425;1.0;0.223;0.655;0.122;40.262375170562734;16.0;6.0;2.0;799.0;15.0;420061
Literary;1856;4674;71;499;0.16448731689889245;1.0;0.207;0.672;0.121;64.85421944076643;12.0;4.0;2.0;684.0;29.0;345018
Literary;159;851;22;89;0.3658980582524272;0.9999;0.188;0.6890000000000001;0.12300000000000001;51.41345137673088;6.0;1.0;0.0;121.0;;59633
Literary;244;686;19;197;0.3289916909948349;0.9996;0.149;0.743;0.107;58.85446835978715;1.0;;0.0;122.0;2.0;53874
Literary;2889;4529;40;1364;0.15138767328270136;1.0;0.235;0.6779999999999999;0.087;66.29469800025936;22.0;7.0;1.0;813.0;11.0;447342
Literary;273;794;15;157;0.4333260345960149;1.0;0.257;0.62;0.122;44.28370420567768;2.0;3.0;2.0;106.0;5.0;55834
Literary;1934;4488;71;1159;0.09837644012085396;1.0;0.198;0.723;0.079;81.6868874156503;33.0;26.0;1.0;996.0;30.0;363470
Literary;239;1219;7;322;0.3870235392520015;0.9999;0.163;0.715;0.122;47.96229651010728;5.0;5.0;0.0;230.0;6.0;96888
Literary;160;1179;7;336;0.3893603546548449;0.9998;0.158;0.718;0.124;49.04869577268835;4.0;8.0;1.0;209.0;29.0;91595
Literary;284;2084;14;579;0.3347757103706909;1.0;0.19;0.679;0.131;39.70742344016736;13.0;2.0;1.0;367.0;26.0;164532
Literary;283;926;9;249;0.3747543461829176;-0.9359;0.145;0.708;0.14800000000000002;57.004728105398705;4.0;2.0;0.0;175.0;13.0;74629
Literary;284;1255;10;421;0.3518600531443756;0.9999;0.165;0.7020000000000001;0.133;53.94910884322115;5.0;4.0;0.0;215.0;17.0;103577
Literary;3054;7911;270;3159;0.14003023223855984;1.0;0.21100000000000002;0.693;0.096;54.462781556621024;72.0;26.0;3.0;1374.0;48.0;720172
Literary;1804;7599;7;1906;0.18087359364659167;1.0;0.195;0.6890000000000001;0.115;53.074629310262345;44.0;15.0;7.0;1205.0;30.0;550985
Literary;1103;6274;65;1104;0.1630203248424603;1.0;0.20600000000000002;0.667;0.126;50.18171535312521;20.0;9.0;1.0;973.0;28.0;544196
Literary;1473;6702;70;1139;0.20330747356505893;1.0;0.21;0.6940000000000001;0.096;47.248052729007405;26.0;8.0;3.0;846.0;22.0;450890
Literary;3249;9719;185;1100;0.13922403107181225;1.0;0.228;0.632;0.14;50.28241831039108;38.0;4.0;2.0;1163.0;25.0;611843
Literary;2594;7970;267;1848;0.1244672122946391;1.0;0.259;0.613;0.128;48.170148402235355;42.0;11.0;1.0;996.0;22.0;620019
Detective and Mystery;2331;8049;22;1179;0.13383789998083925;1.0;0.19;0.664;0.146;60.28823761310193;25.0;9.0;4.0;715.0;60.0;494767
Literary;1751;3673;33;667;0.21089715536105036;1.0;0.17800000000000002;0.708;0.114;52.57291181694751;25.0;2.0;4.0;464.0;59.0;281856
Literary;1669;4064;61;1836;0.17017879948914433;1.0;0.22899999999999998;0.632;0.138;47.55400518555692;26.0;5.0;0.0;1082.0;26.0;524431
Literary;1295;5698;76;656;0.18613699774137832;1.0;0.17600000000000002;0.698;0.126;26.507154366478204;33.0;47.0;0.0;1805.0;11.0;650282
Literary;2966;8750;148;1156;0.1484764542936288;1.0;0.23199999999999998;0.65;0.11800000000000001;55.353886115747564;35.0;23.0;3.0;867.0;19.0;521110
Literary;1549;7699;159;1718;0.1900205857583981;1.0;0.244;0.637;0.11800000000000001;44.26914096109843;43.0;12.0;2.0;1028.0;22.0;516809
Detective and Mystery;2582;4177;147;565;0.14784440842787686;1.0;0.187;0.696;0.11699999999999999;46.869969957433995;30.0;12.0;3.0;612.0;28.0;384516
Detective and Mystery;3661;10779;417;1255;0.13488249373362735;1.0;0.239;0.625;0.136;47.50449690759055;40.0;8.0;0.0;1241.0;17.0;657711
Literary;2113;13875;631;3076;0.18802523941145266;1.0;0.20600000000000002;0.684;0.109;44.48301944248726;46.0;10.0;5.0;1563.0;57.0;855931
Literary;1483;8272;51;1632;0.17778708766978302;1.0;0.214;0.6509999999999999;0.135;45.415376917396934;36.0;5.0;7.0;963.0;27.0;549903
Literary;4537;11015;52;1088;0.1068585041690176;1.0;0.244;0.6659999999999999;0.09;55.37801023170221;202.0;23.0;13.0;1469.0;29.0;842014
Literary;984;4532;532;718;0.2021527858442715;1.0;0.264;0.609;0.127;55.307293713527116;23.0;9.0;1.0;625.0;10.0;332915
Detective and Mystery;1697;1687;107;154;0.2456608811748999;-0.9978;0.154;0.6940000000000001;0.152;56.404101352757;6.0;1.0;0.0;324.0;11.0;148778
Literary;1821;4332;119;872;0.15826671301123854;1.0;0.297;0.589;0.114;49.57409003831032;25.0;9.0;0.0;599.0;10.0;327808
Literary;2930;12046;171;2475;0.1250674419998801;1.0;0.22399999999999998;0.637;0.139;49.638948568195964;44.0;11.0;3.0;1368.0;44.0;875960
Detective and Mystery;1876;5325;71;875;0.1638202719332473;1.0;0.204;0.632;0.16399999999999998;35.80305318801203;16.0;4.0;1.0;870.0;11.0;417242
Literary;380;431;348;96;0.3453815261044177;0.9999;0.24600000000000002;0.665;0.08800000000000001;58.8890864594743;3.0;;0.0;71.0;2.0;35495
Literary;594;2195;25;511;0.2765668807090531;0.9999;0.205;0.623;0.172;48.17492558803795;9.0;1.0;0.0;291.0;2.0;137968
Literary;2217;4851;52;1232;0.1660005512679162;1.0;0.21;0.674;0.11599999999999999;47.15963132627036;38.0;4.0;0.0;681.0;17.0;370840
Sea and Adventure;1155;9132;16;1719;0.13800376647834275;1.0;0.19;0.685;0.126;41.230784046165546;47.0;8.0;4.0;1629.0;10.0;656186
Detective and Mystery;2188;5195;104;1473;0.18565327290159506;1.0;0.162;0.718;0.12;53.11940593183946;19.0;4.0;2.0;818.0;21.0;426326
Literary;1277;4520;61;691;0.18943195192962892;1.0;0.267;0.62;0.113;34.515849162273305;36.0;5.0;0.0;726.0;19.0;407177
Literary;1894;9050;85;2284;0.14385313080537646;1.0;0.237;0.649;0.114;51.76687304536066;44.0;10.0;2.0;964.0;26.0;549269
Literary;2623;8662;32;2200;0.14845222891199902;1.0;0.22899999999999998;0.6509999999999999;0.121;43.36764288538321;38.0;5.0;11.0;977.0;54.0;649006
Literary;3429;14543;801;2420;0.1034266269886114;1.0;0.247;0.605;0.149;54.22351203315046;50.0;23.0;5.0;1685.0;16.0;995466
Literary;1975;4388;16;1148;0.17062668806513484;1.0;0.27899999999999997;0.609;0.111;51.7653513039281;17.0;7.0;0.0;602.0;2.0;318972
Literary;1237;5408;263;1902;0.18099674837418708;1.0;0.203;0.662;0.136;52.47415586407661;29.0;6.0;1.0;949.0;11.0;399226
Literary;2853;10724;60;1884;0.11753374987859755;1.0;0.244;0.6;0.157;57.8438433045476;59.0;13.0;5.0;1268.0;17.0;752992
Literary;4233;12335;366;2885;0.09778321433920817;1.0;0.253;0.609;0.138;55.61708398057374;56.0;34.0;6.0;1676.0;37.0;1046656
Literary;1519;4299;103;466;0.20233083335656726;1.0;0.17;0.728;0.102;44.248554685790566;21.0;4.0;0.0;878.0;28.0;420105
Literary;1337;4858;52;911;0.19298699804395356;1.0;0.24;0.642;0.11699999999999999;38.73287597632813;19.0;12.0;5.0;783.0;9.0;439962
Literary;1736;5860;128;1269;0.1851177935261444;1.0;0.23;0.654;0.11599999999999999;49.547720568684475;22.0;6.0;0.0;909.0;26.0;386531
Literary;957;5627;15;573;0.1678423310056361;1.0;0.19699999999999998;0.6579999999999999;0.14400000000000002;50.02157535376711;28.0;3.0;1.0;544.0;8.0;348373
Literary;2455;6800;126;743;0.16691361011157813;1.0;0.22399999999999998;0.6659999999999999;0.11;54.518530207343815;21.0;5.0;2.0;528.0;19.0;411749
Sea and Adventure;998;8408;73;1250;0.19970015754434112;1.0;0.218;0.664;0.11800000000000001;30.04388978339929;40.0;2.0;0.0;1093.0;17.0;480101
Literary;3463;10049;230;948;0.12944931123196665;1.0;0.21600000000000003;0.6579999999999999;0.126;55.56188699009152;99.0;15.0;9.0;1378.0;24.0;757081
Detective and Mystery;1264;7611;50;984;0.15289926954639732;-1.0;0.163;0.6679999999999999;0.168;51.876152383335686;29.0;8.0;3.0;1241.0;18.0;556334
Literary;1219;3995;61;418;0.23513035793194875;1.0;0.212;0.688;0.10099999999999999;46.947711163070956;21.0;9.0;3.0;425.0;27.0;313775
Literary;1231;4061;34;600;0.17638465447154472;1.0;0.14800000000000002;0.721;0.131;50.416409553701705;30.0;1.0;0.0;931.0;6.0;430059
Literary;974;3842;26;805;0.21891119605150847;1.0;0.23600000000000002;0.655;0.109;47.880911815976866;30.0;3.0;1.0;646.0;23.0;327038
Literary;2002;4607;124;2533;0.22259074995393405;1.0;0.215;0.632;0.153;36.425798816252716;36.0;2.0;4.0;801.0;13.0;412269
Literary;1901;4975;14;787;0.15911931545043745;1.0;0.191;0.662;0.147;51.274518770541704;26.0;12.0;3.0;1046.0;12.0;525761
Literary;2582;6893;71;369;0.16008285609845255;0.9999;0.16899999999999998;0.669;0.162;54.33932491284077;25.0;6.0;1.0;1178.0;17.0;536564
Literary;944;4813;473;469;0.17455664663637696;1.0;0.221;0.648;0.13;55.247664615472495;26.0;4.0;1.0;582.0;12.0;332455
Literary;1278;4462;10;850;0.1941638608305275;1.0;0.263;0.614;0.12300000000000001;48.531357896850146;17.0;3.0;2.0;634.0;40.0;326119
Literary;2740;9034;165;1192;0.19790733018978213;1.0;0.198;0.679;0.12300000000000001;33.79273363241191;28.0;12.0;4.0;1407.0;39.0;669612
Literary;1378;3196;91;526;0.20692206978994707;1.0;0.23800000000000002;0.636;0.126;49.95471042569852;13.0;2.0;0.0;379.0;8.0;222974
Literary;1479;7357;189;1017;0.1439050309737954;1.0;0.23199999999999998;0.6559999999999999;0.11199999999999999;51.542870610154544;38.0;5.0;4.0;856.0;34.0;485333
Literary;1620;4040;103;926;0.17447562633521072;1.0;0.253;0.632;0.11599999999999999;47.548256353700936;39.0;11.0;4.0;876.0;16.0;531396
Literary;2023;5117;24;410;0.18261925519990035;1.0;0.217;0.6509999999999999;0.133;46.50296114425967;50.0;5.0;4.0;818.0;13.0;396879
Literary;1692;4748;66;1275;0.18066825775656328;1.0;0.237;0.625;0.138;46.10465437415783;33.0;8.0;0.0;679.0;12.0;427509
Literary;360;1142;13;189;0.3395215994287754;1.0;0.209;0.672;0.12;45.835043965980084;4.0;1.0;0.0;187.0;4.0;101290
Literary;2605;6830;153;938;0.20063764291996486;1.0;0.201;0.6759999999999999;0.124;43.31769806508356;44.0;6.0;1.0;925.0;21.0;467057
Literary;1019;3405;10;505;0.19756479093561072;1.0;0.151;0.727;0.122;64.79750544778129;20.0;9.0;1.0;672.0;15.0;277227
Literary;1672;4691;138;869;0.21501116473384715;1.0;0.214;0.698;0.08800000000000001;40.136337768765344;17.0;4.0;6.0;536.0;17.0;353361
Literary;2390;6946;68;893;0.14013297872340424;1.0;0.26;0.601;0.139;56.07913577783114;23.0;7.0;3.0;1064.0;13.0;457981
Literary;1177;4786;86;1113;0.19702293248706035;1.0;0.257;0.632;0.11199999999999999;57.46867431174366;27.0;3.0;2.0;685.0;9.0;334280
Literary;4448;7117;463;703;0.18007519623579074;1.0;0.217;0.64;0.14300000000000002;43.34965260752824;44.0;10.0;1.0;1028.0;38.0;629566
Literary;343;4153;39;913;0.18138443488463046;1.0;0.191;0.638;0.171;43.664608108929265;23.0;4.0;2.0;667.0;5.0;306593
Literary;123;961;12;237;0.3514285714285714;1.0;0.23600000000000002;0.619;0.145;41.62209960737033;5.0;;0.0;152.0;2.0;67525
Literary;4744;13643;94;888;0.11016858728126334;1.0;0.20800000000000002;0.662;0.129;57.42504417854352;57.0;16.0;5.0;1520.0;34.0;981640
Literary;2587;5624;100;1206;0.15642765909489342;1.0;0.21100000000000002;0.672;0.11699999999999999;56.4941432738091;40.0;3.0;0.0;910.0;21.0;483067
Literary;2852;10020;101;316;0.11551532526938005;1.0;0.21899999999999997;0.6609999999999999;0.12;65.34033950436637;41.0;24.0;3.0;1423.0;52.0;834871
Literary;2272;5068;55;349;0.1598055956915802;-1.0;0.155;0.675;0.16899999999999998;50.326068468120525;30.0;5.0;16.0;816.0;13.0;485072
Literary;1276;4697;238;216;0.20471724247101192;1.0;0.23;0.643;0.127;53.243732810453395;23.0;8.0;1.0;698.0;8.0;322289
Literary;1324;2388;29;168;0.258858075040783;1.0;0.182;0.6809999999999999;0.13699999999999998;50.46549584288357;10.0;1.0;2.0;303.0;3.0;196918
Literary;1172;4763;58;1281;0.21782827179375136;1.0;0.207;0.688;0.105;50.798882302320244;31.0;7.0;4.0;667.0;12.0;329876
Literary;532;5977;17;1011;0.18409268194031145;1.0;0.20600000000000002;0.679;0.115;48.76033558282114;27.0;14.0;5.0;919.0;23.0;415546
Literary;1119;3850;62;286;0.20999549013980567;1.0;0.221;0.669;0.11;48.960721435620634;32.0;6.0;1.0;777.0;8.0;301396
Literary;2893;5935;154;1144;0.13931663312074108;1.0;0.20800000000000002;0.654;0.138;59.01569405665902;28.0;7.0;3.0;1016.0;14.0;546218
Literary;4635;12785;62;1821;0.10547310479375696;1.0;0.18;0.6890000000000001;0.131;67.99956083870592;39.0;13.0;2.0;1351.0;27.0;693875
Literary;2203;8301;89;1010;0.1346540567446491;1.0;0.222;0.6459999999999999;0.132;52.72307370855407;29.0;17.0;5.0;1122.0;24.0;652184
Literary;2738;9793;160;1928;0.12884615384615386;1.0;0.247;0.607;0.146;48.137476560793324;59.0;8.0;1.0;1431.0;32.0;793892
Literary;4944;10558;163;1908;0.11680987762924333;1.0;0.225;0.599;0.17600000000000002;55.61170594498884;43.0;19.0;2.0;1593.0;30.0;774382
