Target_Class;p_tag_count;comma_count;colon_count;hyphen_count;TTR;Compound;Positive;Neutral;Negative;FleschK_score;CC;PRP;PRP$;IN;NNP;period_count
Literary;3292;8481;39;1076;0.12512094291494413;1.0;0.222;0.632;0.147;56.99762174796346;28.0;5.0;2.0;1130.0;24.0;575847
Literary;1000;3995;29;1847;0.21919899776846885;1.0;0.21600000000000003;0.6409999999999999;0.14300000000000002;46.43923426253443;19.0;7.0;1.0;502.0;8.0;312815
Literary;2221;5816;11;334;0.13079149297719248;1.0;0.231;0.64;0.13;50.15623237604177;23.0;11.0;2.0;913.0;39.0;457818
Literary;488;3502;31;625;0.2224598398567663;1.0;0.273;0.62;0.107;40.289281192739956;18.0;4.0;1.0;536.0;19.0;257081
Literary;3209;12246;236;2415;0.11842069323427384;1.0;0.20199999999999999;0.6659999999999999;0.132;50.614037286277956;63.0;21.0;12.0;2205.0;25.0;951149
Literary;664;4374;132;828;0.2297316444217745;1.0;0.192;0.645;0.163;22.06359121865285;33.0;1.0;2.0;861.0;15.0;425626
Literary;1302;4886;82;972;0.257998638529612;1.0;0.235;0.616;0.149;34.691516764334786;14.0;8.0;2.0;832.0;24.0;370995
Literary;1349;3575;14;1536;0.2066979711172145;1.0;0.256;0.606;0.13699999999999998;50.79750702659811;15.0;7.0;3.0;544.0;31.0;279740
Literary;2185;4330;82;1302;0.17037057537431158;1.0;0.203;0.664;0.132;46.25942817547568;11.0;5.0;4.0;895.0;58.0;445027
Christmas Stories;159;970;6;143;0.4188504734639947;1.0;0.226;0.672;0.102;48.524278635450834;5.0;;1.0;118.0;1.0;58520
Love and Romance;3325;5717;19;1913;0.13218056549749466;1.0;0.24100000000000002;0.6409999999999999;0.11800000000000001;58.82898550917378;36.0;6.0;2.0;1182.0;20.0;556244
Literary;4232;14114;749;5209;0.12657252250012432;1.0;0.21100000000000002;0.6629999999999999;0.126;46.091648289636176;54.0;19.0;4.0;1960.0;39.0;996956
Love and Romance;947;4242;34;1386;0.2127255460588794;1.0;0.212;0.652;0.136;50.32766384366937;30.0;13.0;4.0;709.0;14.0;363542
Sea and Adventure;1409;2976;59;682;0.2332313485526006;1.0;0.18899999999999997;0.6890000000000001;0.122;58.22784371586681;14.0;12.0;0.0;548.0;11.0;257083
Literary;2201;7467;194;1452;0.1395116432544546;1.0;0.20600000000000002;0.667;0.127;52.25819785233465;28.0;15.0;3.0;1337.0;35.0;648996
Literary;87;473;13;83;0.4728538283062645;0.9998;0.188;0.7340000000000001;0.078;54.70612852749153;;;0.0;54.0;3.0;28988
Literary;4784;13251;255;1704;0.11189713026493717;1.0;0.205;0.64;0.154;45.35663906858207;68.0;10.0;3.0;1920.0;21.0;977599
