guten_genre,p_tag_count,comma_count,colon_count,hyphen_count,TTR,Positive,Neutral,Negative,FleschK_score,CC,PRP,PRP$,IN,NNP,period_count
Literary,1191,5738,30,1383,0.180,0.242,0.648,0.11,34.070,34,4,1,897,39,476532
Literary,541,2862,70,207,0.247,0.261,0.597,0.143,43.827,6,4,2,324,12,189449
Literary,3118,5315,47,1209,0.147,0.189,0.659,0.152,56.439,21,7,2,757,30,492469
Literary,2492,8208,121,1888,0.156,0.210,0.653,0.137,51.062,31,10,2,1286,26,674070
Literary,2586,6398,99,1564,0.190,0.233,0.638,0.129,41.664,26,13,1,926,17,569136
Literary,1415,6465,37,1528,0.161,0.255,0.592,0.153,48.515,58,8,0,767,5,388968
Love and Romance,614,3245,52,723,0.200,0.251,0.614,0.135,55.493,38,5,1,417,1,201527
Literary,1357,7431,130,1108,0.144,0.171,0.702,0.126,52.357,29,7,2,1364,28,554499
Literary,4235,10496,349,4208,0.145,0.232,0.645,0.123,44.532,64,11,3,1506,21,804253
Literary,2240,4807,97,3016,0.149,0.241,0.629,0.13,58.747,20,9,3,989,24,457751
Literary,1416,4435,11,873,0.205,0.203,0.660,0.137,48.723,18,8,0,686,6,347716
Literary,3423,5698,22,1277,0.151,0.236,0.629,0.135,54.634,26,21,0,1032,30,512912
Literary,2154,11696,209,1349,0.176,0.177,0.704,0.119,34.567,40,20,1,1371,25,742127
Literary,2398,4443,97,1258,0.172,0.227,0.679,0.094,38.383,24,4,3,574,26,363110
Literary,1734,4335,6,692,0.196,0.206,0.652,0.142,37.955,18,9,3,627,7,378982
Literary,1514,9570,69,1888,0.210,0.225,0.638,0.137,40.735,32,11,1,1061,13,512416
Literary,2051,2734,33,1156,0.212,0.240,0.629,0.131,55.529,32,5,1,442,14,289033
Literary,128,1314,21,475,0.307,0.303,0.557,0.14,42.691,8,2,0,181,4,100540
Literary,565,1557,50,238,0.225,0.278,0.567,0.155,61.552,12,5,0,188,6,109986
Literary,590,1645,17,199,0.243,0.312,0.555,0.134,53.871,9,1,1,243,1,133019
Literary,555,1712,28,325,0.224,0.268,0.566,0.165,65.762,12,1,0,215,3,122536
Literary,1003,5299,82,676,0.171,0.236,0.619,0.146,50.265,9,4,4,640,9,330439
Literary,2852,17322,672,1408,0.097,0.231,0.638,0.131,60.911,78,24,18,2132,72,938485
Literary,4486,16231,51,2100,0.101,0.253,0.636,0.111,54.100,104,24,14,1679,23,961823
Literary,120,339,3,88,0.504,0.238,0.648,0.114,57.874,1,,3,44,3,22968
Literary,3282,17993,594,1771,0.096,0.198,0.682,0.12,60.377,66,9,3,2414,36,1014170
Literary,1968,5501,36,808,0.157,0.254,0.641,0.105,31.986,20,3,0,835,17,479038
Literary,4243,12955,133,2385,0.114,0.262,0.638,0.101,52.045,48,18,3,1924,27,834585
Literary,3011,8601,201,2501,0.126,0.179,0.650,0.171,57.762,41,21,4,1443,33,774728
Literary,2006,4119,50,550,0.208,0.250,0.631,0.119,49.839,38,7,2,662,23,368868
Literary,3450,9003,437,5578,0.146,0.222,0.625,0.153,44.316,65,20,5,1524,29,844195
Literary,1840,4125,51,1145,0.204,0.189,0.702,0.108,49.728,14,7,4,708,12,412352
Literary,6056,18091,546,2128,0.097,0.242,0.624,0.134,52.274,75,10,3,2339,57,1197827
Literary,462,1503,31,278,0.274,0.229,0.649,0.123,56.743,4,1,0,236,8,114621
Literary,1605,5661,144,2478,0.187,0.250,0.620,0.131,46.614,35,7,1,945,12,511590
Literary,116,3468,60,276,0.174,0.232,0.646,0.123,50.079,23,7,1,576,10,261906
Literary,1395,5933,35,898,0.153,0.202,0.683,0.115,50.790,38,2,3,791,13,423151
Literary,2971,7620,77,1624,0.154,0.215,0.622,0.163,56.840,29,8,3,845,65,473076
Allegories,641,2054,58,164,0.226,0.276,0.616,0.108,59.996,10,4,0,306,5,142770
Literary,3390,11279,446,2010,0.142,0.258,0.621,0.121,34.004,53,18,5,1673,59,767895
Literary,635,3119,850,923,0.218,0.296,0.567,0.137,59.560,21,5,2,576,7,264471
Literary,1129,3469,18,548,0.222,0.236,0.586,0.178,54.662,11,3,2,439,13,242442
Literary,4936,13857,280,1739,0.112,0.207,0.649,0.144,46.405,60,11,7,1667,29,911515
Literary,3551,13272,942,2115,0.093,0.237,0.600,0.163,56.078,54,20,5,1690,23,1036243
Literary,4220,11058,282,1436,0.115,0.224,0.665,0.111,51.525,46,7,2,1328,34,791313
Literary,4341,9718,41,2913,0.109,0.257,0.583,0.16,60.191,23,12,3,1353,14,642658
Literary,1530,9930,67,877,0.124,0.180,0.710,0.109,64.228,49,7,5,1340,19,569146
Literary,975,5273,73,775,0.214,0.223,0.667,0.11,52.319,25,2,1,784,9,336969
Literary,2920,12367,125,4616,0.112,0.234,0.656,0.11,50.709,55,10,21,1502,28,960880
Literary,946,5209,54,1181,0.192,0.199,0.671,0.13,48.513,44,9,0,938,11,394733
Literary,1192,6306,39,1688,0.209,0.224,0.636,0.14,38.521,52,9,3,966,11,452908
