guten_genre,p_tag_count,comma_count,colon_count,hyphen_count,TTR,Positive,Neutral,Negative,FleschK_score,CC,PRP,PRP$,IN,NNP,period_count
Literary,1804,7599,7,1906,0.181,0.195,0.689,0.115,53.075,44,15,7,1205,30,550985
Literary,1103,6274,65,1104,0.163,0.206,0.667,0.126,50.182,20,9,1,973,28,544196
Literary,1473,6702,70,1139,0.203,0.210,0.694,0.096,47.248,26,8,3,846,22,450890
Literary,3249,9719,185,1100,0.139,0.228,0.632,0.14,50.282,38,4,2,1163,25,611843
Literary,2594,7970,267,1848,0.124,0.259,0.613,0.128,48.170,42,11,1,996,22,620019
Detective and Mystery,2331,8049,22,1179,0.134,0.190,0.664,0.146,60.288,25,9,4,715,60,494767
Literary,1751,3673,33,667,0.211,0.178,0.708,0.114,52.573,25,2,4,464,59,281856
Literary,1669,4064,61,1836,0.170,0.229,0.632,0.138,47.554,26,5,0,1082,26,524431
Literary,1295,5698,76,656,0.186,0.176,0.698,0.126,26.507,33,47,0,1805,11,650282
Literary,2966,8750,148,1156,0.148,0.232,0.650,0.118,55.354,35,23,3,867,19,521110
Literary,1549,7699,159,1718,0.190,0.244,0.637,0.118,44.269,43,12,2,1028,22,516809
Detective and Mystery,2582,4177,147,565,0.148,0.187,0.696,0.117,46.870,30,12,3,612,28,384516
Detective and Mystery,3661,10779,417,1255,0.135,0.239,0.625,0.136,47.504,40,8,0,1241,17,657711
Literary,2113,13875,631,3076,0.188,0.206,0.684,0.109,44.483,46,10,5,1563,57,855931
Literary,1483,8272,51,1632,0.178,0.214,0.651,0.135,45.415,36,5,7,963,27,549903
Literary,4537,11015,52,1088,0.107,0.244,0.666,0.09,55.378,202,23,13,1469,29,842014
Literary,984,4532,532,718,0.202,0.264,0.609,0.127,55.307,23,9,1,625,10,332915
Detective and Mystery,1697,1687,107,154,0.246,0.154,0.694,0.152,56.404,6,1,0,324,11,148778
Literary,1821,4332,119,872,0.158,0.297,0.589,0.114,49.574,25,9,0,599,10,327808
Literary,2930,12046,171,2475,0.125,0.224,0.637,0.139,49.639,44,11,3,1368,44,875960
Detective and Mystery,1876,5325,71,875,0.164,0.204,0.632,0.164,35.803,16,4,1,870,11,417242
Literary,380,431,348,96,0.345,0.246,0.665,0.088,58.889,3,,0,71,2,35495
Literary,594,2195,25,511,0.277,0.205,0.623,0.172,48.175,9,1,0,291,2,137968
Literary,2217,4851,52,1232,0.166,0.210,0.674,0.116,47.160,38,4,0,681,17,370840
Sea and Adventure,1155,9132,16,1719,0.138,0.190,0.685,0.126,41.231,47,8,4,1629,10,656186
Detective and Mystery,2188,5195,104,1473,0.186,0.162,0.718,0.12,53.119,19,4,2,818,21,426326
Literary,1277,4520,61,691,0.189,0.267,0.620,0.113,34.516,36,5,0,726,19,407177
Literary,1894,9050,85,2284,0.144,0.237,0.649,0.114,51.767,44,10,2,964,26,549269
Literary,2623,8662,32,2200,0.148,0.229,0.651,0.121,43.368,38,5,11,977,54,649006
Literary,3429,14543,801,2420,0.103,0.247,0.605,0.149,54.224,50,23,5,1685,16,995466
Literary,1975,4388,16,1148,0.171,0.279,0.609,0.111,51.765,17,7,0,602,2,318972
Literary,1237,5408,263,1902,0.181,0.203,0.662,0.136,52.474,29,6,1,949,11,399226
Literary,2853,10724,60,1884,0.118,0.244,0.600,0.157,57.844,59,13,5,1268,17,752992
Literary,4233,12335,366,2885,0.098,0.253,0.609,0.138,55.617,56,34,6,1676,37,1046656
Literary,1519,4299,103,466,0.202,0.170,0.728,0.102,44.249,21,4,0,878,28,420105
Literary,1337,4858,52,911,0.193,0.240,0.642,0.117,38.733,19,12,5,783,9,439962
Literary,1736,5860,128,1269,0.185,0.230,0.654,0.116,49.548,22,6,0,909,26,386531
Literary,957,5627,15,573,0.168,0.197,0.658,0.144,50.022,28,3,1,544,8,348373
Literary,2455,6800,126,743,0.167,0.224,0.666,0.11,54.519,21,5,2,528,19,411749
Sea and Adventure,998,8408,73,1250,0.200,0.218,0.664,0.118,30.044,40,2,0,1093,17,480101
Literary,3463,10049,230,948,0.129,0.216,0.658,0.126,55.562,99,15,9,1378,24,757081
Detective and Mystery,1264,7611,50,984,0.153,0.163,0.668,0.168,51.876,29,8,3,1241,18,556334
Literary,1219,3995,61,418,0.235,0.212,0.688,0.101,46.948,21,9,3,425,27,313775
Literary,1231,4061,34,600,0.176,0.148,0.721,0.131,50.416,30,1,0,931,6,430059
Literary,974,3842,26,805,0.219,0.236,0.655,0.109,47.881,30,3,1,646,23,327038
Literary,2002,4607,124,2533,0.223,0.215,0.632,0.153,36.426,36,2,4,801,13,412269
Literary,1901,4975,14,787,0.159,0.191,0.662,0.147,51.275,26,12,3,1046,12,525761
Literary,2582,6893,71,369,0.160,0.169,0.669,0.162,54.339,25,6,1,1178,17,536564
Literary,944,4813,473,469,0.175,0.221,0.648,0.13,55.248,26,4,1,582,12,332455
Literary,1278,4462,10,850,0.194,0.263,0.614,0.123,48.531,17,3,2,634,40,326119
Literary,2740,9034,165,1192,0.198,0.198,0.679,0.123,33.793,28,12,4,1407,39,669612
Literary,1378,3196,91,526,0.207,0.238,0.636,0.126,49.955,13,2,0,379,8,222974
Literary,1479,7357,189,1017,0.144,0.232,0.656,0.112,51.543,38,5,4,856,34,485333
Literary,1620,4040,103,926,0.174,0.253,0.632,0.116,47.548,39,11,4,876,16,531396
Literary,2023,5117,24,410,0.183,0.217,0.651,0.133,46.503,50,5,4,818,13,396879
Literary,1692,4748,66,1275,0.181,0.237,0.625,0.138,46.105,33,8,0,679,12,427509
Literary,360,1142,13,189,0.340,0.209,0.672,0.12,45.835,4,1,0,187,4,101290
Literary,2605,6830,153,938,0.201,0.201,0.676,0.124,43.318,44,6,1,925,21,467057
Literary,1019,3405,10,505,0.198,0.151,0.727,0.122,64.798,20,9,1,672,15,277227
Literary,1672,4691,138,869,0.215,0.214,0.698,0.088,40.136,17,4,6,536,17,353361
Literary,2390,6946,68,893,0.140,0.260,0.601,0.139,56.079,23,7,3,1064,13,457981
Literary,1177,4786,86,1113,0.197,0.257,0.632,0.112,57.469,27,3,2,685,9,334280
Literary,4448,7117,463,703,0.180,0.217,0.640,0.143,43.350,44,10,1,1028,38,629566
Literary,343,4153,39,913,0.181,0.191,0.638,0.171,43.665,23,4,2,667,5,306593
Literary,123,961,12,237,0.351,0.236,0.619,0.145,41.622,5,,0,152,2,67525
Literary,4744,13643,94,888,0.110,0.208,0.662,0.129,57.425,57,16,5,1520,34,981640
Literary,2587,5624,100,1206,0.156,0.211,0.672,0.117,56.494,40,3,0,910,21,483067
Literary,2852,10020,101,316,0.116,0.219,0.661,0.12,65.340,41,24,3,1423,52,834871
Literary,2272,5068,55,349,0.160,0.155,0.675,0.169,50.326,30,5,16,816,13,485072
Literary,1276,4697,238,216,0.205,0.230,0.643,0.127,53.244,23,8,1,698,8,322289
Literary,1324,2388,29,168,0.259,0.182,0.681,0.137,50.465,10,1,2,303,3,196918
Literary,1172,4763,58,1281,0.218,0.207,0.688,0.105,50.799,31,7,4,667,12,329876
Literary,532,5977,17,1011,0.184,0.206,0.679,0.115,48.760,27,14,5,919,23,415546
Literary,1119,3850,62,286,0.210,0.221,0.669,0.11,48.961,32,6,1,777,8,301396
Literary,2893,5935,154,1144,0.139,0.208,0.654,0.138,59.016,28,7,3,1016,14,546218
Literary,4635,12785,62,1821,0.105,0.180,0.689,0.131,68.000,39,13,2,1351,27,693875
Literary,2203,8301,89,1010,0.135,0.222,0.646,0.132,52.723,29,17,5,1122,24,652184
Literary,2738,9793,160,1928,0.129,0.247,0.607,0.146,48.137,59,8,1,1431,32,793892
Literary,4944,10558,163,1908,0.117,0.225,0.599,0.176,55.612,43,19,2,1593,30,774382
Literary,2612,11692,175,1690,0.121,0.241,0.635,0.124,50.503,36,16,3,1629,521,840975
Sea and Adventure,2242,6862,71,627,0.136,0.254,0.573,0.173,56.094,16,8,0,921,5,481690
Literary,492,5290,257,593,0.189,0.227,0.698,0.075,13.242,32,10,4,772,125,411567
Literary,1306,3949,19,1242,0.179,0.258,0.613,0.128,51.504,16,3,1,625,11,356813
Literary,2497,3659,210,318,0.201,0.201,0.670,0.129,51.723,14,6,4,546,9,367750
Literary,3200,11374,168,2587,0.116,0.244,0.668,0.088,61.012,29,5,0,1623,19,722893
Literary,3010,11125,63,1751,0.120,0.231,0.608,0.16,52.342,45,25,0,1847,30,712589
Literary,1636,4990,146,792,0.166,0.218,0.681,0.101,41.833,30,5,0,784,26,441424
Literary,3698,4684,31,355,0.113,0.217,0.657,0.126,65.517,105,9,3,760,12,538178
Literary,409,2167,3,253,0.294,0.220,0.658,0.123,46.516,9,6,2,226,5,144922
Literary,2063,9104,282,1697,0.151,0.271,0.608,0.121,51.307,38,13,4,1029,27,653661
Literary,719,4213,29,952,0.256,0.216,0.662,0.122,36.472,14,2,0,533,32,257996
Literary,799,3177,41,382,0.203,0.249,0.612,0.139,40.426,11,1,3,487,11,263216
Literary,527,1950,56,229,0.296,0.139,0.700,0.162,39.903,5,,0,315,15,146404
Literary,1632,3841,9,924,0.225,0.207,0.655,0.138,41.355,22,7,2,614,12,324155
Detective and Mystery,1727,8544,381,1550,0.136,0.215,0.629,0.156,34.684,26,12,5,1216,99,652050
Literary,1345,3029,159,151,0.244,0.232,0.642,0.126,43.629,8,1,0,492,8,220697
Literary,1612,6350,16,484,0.144,0.260,0.663,0.077,53.552,14,10,16,544,64,406683
Literary,2455,7405,378,1518,0.174,0.207,0.668,0.125,51.789,41,10,4,1100,17,513991
Literary,1507,8380,531,621,0.143,0.202,0.676,0.123,56.908,23,13,2,1345,34,731368
Literary,674,1617,52,240,0.305,0.162,0.730,0.108,58.723,7,2,0,338,2,137385
Literary,546,4393,35,990,0.284,0.210,0.687,0.102,44.479,20,9,2,591,12,291147
Literary,971,2522,71,899,0.283,0.210,0.656,0.134,52.953,12,4,1,344,10,179167
Literary,1704,12804,166,2176,0.099,0.247,0.623,0.129,49.119,83,11,4,2093,21,929076
Literary,704,5254,91,1376,0.224,0.216,0.701,0.084,38.646,21,7,2,745,15,354489
Literary,2282,3727,38,408,0.164,0.206,0.660,0.133,60.500,27,2,3,755,9,373445
Literary,1528,6782,33,1948,0.120,0.219,0.619,0.162,62.005,70,8,2,1155,17,523707
Literary,1054,4200,62,550,0.172,0.246,0.623,0.131,46.627,15,3,3,734,5,348082
Literary,1516,6706,75,1509,0.150,0.205,0.681,0.114,37.321,62,4,7,1255,60,648440
Literary,1012,5606,222,833,0.183,0.227,0.700,0.074,13.138,35,9,3,859,84,420182
Literary,1781,2549,80,490,0.167,0.262,0.594,0.144,65.492,8,2,1,365,2,234974
Detective and Mystery,2022,4598,122,1011,0.156,0.187,0.703,0.11,59.393,21,4,3,892,6,384247
Sea and Adventure,1933,4326,97,690,0.160,0.221,0.631,0.148,56.521,18,,0,627,14,345723
Literary,2085,14242,156,5550,0.127,0.216,0.664,0.12,40.088,71,12,7,1667,48,843306
Sea and Adventure,119,633,8,153,0.501,0.168,0.734,0.098,47.985,8,2,0,110,4,51657
Literary,1540,8028,40,1382,0.164,0.184,0.713,0.103,50.185,42,6,1,1282,22,627885
Literary,1060,4095,83,820,0.215,0.226,0.652,0.123,46.232,12,4,0,681,24,371913
Literary,561,2386,684,1343,0.281,0.190,0.689,0.121,40.697,13,2,0,482,5,223097
Literary,544,2551,728,1270,0.241,0.191,0.648,0.161,35.420,14,2,1,549,15,255105
Detective and Mystery,1988,6710,152,1148,0.146,0.194,0.655,0.151,47.286,52,5,3,1092,20,570768
Literary,2166,17549,222,4303,0.116,0.236,0.613,0.151,37.806,62,21,13,2078,81,1131753
Literary,874,3447,20,636,0.239,0.244,0.651,0.105,52.758,10,5,2,539,10,237583
Literary,2407,18688,418,4450,0.109,0.249,0.635,0.116,43.299,86,20,15,2121,56,1188492
Literary,3066,11417,69,1498,0.138,0.241,0.597,0.162,52.833,36,8,4,1575,5,614977
Detective and Mystery,1547,4740,150,471,0.151,0.214,0.653,0.132,45.526,27,8,2,751,14,387997
Literary,405,1541,18,390,0.355,0.177,0.691,0.132,36.391,5,2,0,361,7,182620
Literary,3496,9892,3,3200,0.106,0.231,0.611,0.158,54.439,58,3,9,1399,21,838804
Literary,765,5281,47,773,0.204,0.204,0.680,0.117,38.777,25,6,0,982,11,439951
Literary,1377,5158,73,792,0.211,0.234,0.621,0.145,50.214,22,,2,578,7,329210
Sea and Adventure,1683,7636,83,1012,0.160,0.197,0.698,0.105,40.230,47,8,3,1466,24,679260
Literary,1794,3669,32,426,0.204,0.255,0.644,0.101,53.586,21,2,4,473,9,268735
Literary,773,3200,63,593,0.219,0.193,0.674,0.132,46.152,11,8,0,587,10,296542
Literary,1186,6599,25,414,0.157,0.214,0.680,0.106,45.722,25,8,5,959,27,446074
Literary,2415,16733,167,3211,0.146,0.212,0.665,0.123,40.731,96,7,9,2159,41,1020088
Literary,1808,5852,167,1597,0.150,0.227,0.644,0.129,56.244,26,4,1,985,26,490447
Sea and Adventure,1356,5303,63,814,0.184,0.203,0.708,0.089,52.123,34,6,4,841,16,348848
Sea and Adventure,2629,11826,268,1872,0.149,0.221,0.639,0.14,42.125,34,6,6,1509,40,786926
Literary,263,3912,183,312,0.280,0.238,0.638,0.124,32.307,17,6,1,524,17,263031
Literary,2476,14259,134,2188,0.156,0.236,0.638,0.127,40.794,68,13,0,1436,16,836546
Literary,1456,6446,79,907,0.199,0.232,0.650,0.118,47.923,32,5,2,676,16,403760
Detective and Mystery,2193,5010,7,592,0.182,0.218,0.680,0.101,43.861,17,2,0,651,15,362977
Literary,720,1983,52,178,0.272,0.194,0.638,0.167,52.602,7,2,0,288,5,133761
Literary,2663,8762,93,1241,0.137,0.221,0.669,0.109,52.112,32,6,1,1153,17,613763
Literary,4371,19694,145,3184,0.121,0.230,0.630,0.14,45.937,99,15,7,1989,35,1131179
Literary,1883,7855,98,1323,0.149,0.243,0.629,0.128,47.220,27,18,1,944,28,613291
Literary,2304,5830,25,1044,0.174,0.248,0.630,0.122,67.755,8,9,1,578,6,289331
Literary,2246,12084,229,1966,0.128,0.205,0.638,0.157,59.764,28,11,0,1415,19,614545
Literary,3674,11214,44,2041,0.135,0.220,0.654,0.127,66.836,18,10,7,924,28,525842
Literary,1439,6307,89,1224,0.181,0.242,0.620,0.138,46.420,24,7,1,747,13,459396
Detective and Mystery,1512,6339,40,709,0.149,0.227,0.681,0.091,48.355,21,5,3,841,28,441080
Detective and Mystery,644,3809,19,315,0.178,0.160,0.692,0.148,41.867,19,7,0,771,11,264412
Literary,3273,17436,201,2448,0.116,0.222,0.634,0.143,34.579,115,7,14,1919,38,1149916
Literary,649,3482,18,564,0.270,0.194,0.692,0.114,43.811,14,4,3,425,8,238471
Literary,1842,5794,110,861,0.152,0.280,0.580,0.141,49.802,40,18,4,716,34,468480
Literary,3028,11706,262,1911,0.135,0.275,0.582,0.144,53.677,38,9,2,1546,3,617243
Literary,547,2377,38,354,0.268,0.257,0.600,0.143,46.435,4,4,0,293,8,158832
Literary,1620,6330,33,911,0.199,0.177,0.667,0.156,65.731,24,13,0,860,19,374755
Literary,3107,13760,81,2304,0.155,0.237,0.643,0.12,40.669,65,11,3,1342,31,750430
Literary,3175,12941,115,2070,0.141,0.216,0.633,0.151,39.233,69,7,8,1417,41,772898
Literary,840,3270,76,742,0.232,0.204,0.673,0.123,42.404,18,11,1,375,8,224683
Literary,4600,8219,29,2866,0.124,0.219,0.664,0.116,43.580,33,16,3,1412,10,736309
Western Stories,1324,3662,117,1377,0.266,0.195,0.674,0.131,54.247,11,4,1,503,10,294689
Literary,3109,14114,111,2146,0.151,0.226,0.635,0.139,39.805,56,9,8,1409,60,859011
Literary,2645,5960,82,1102,0.146,0.274,0.615,0.111,36.297,38,17,2,1086,15,596885
Literary,4615,18175,165,3528,0.117,0.243,0.643,0.114,51.132,107,11,4,1834,30,1088528
Literary,2615,9932,43,2339,0.134,0.238,0.616,0.146,58.665,32,3,3,1063,20,600541
Detective and Mystery,365,1305,28,162,0.312,0.175,0.646,0.179,42.205,7,2,2,202,,99941
Literary,2213,8883,61,1979,0.127,0.199,0.684,0.117,65.456,45,16,2,1224,29,667526
Literary,1256,4715,80,954,0.194,0.281,0.607,0.112,36.469,22,5,4,781,8,429167
Literary,1312,4643,93,787,0.231,0.179,0.698,0.122,41.080,21,3,0,676,20,346125
Literary,2640,6727,230,2832,0.163,0.220,0.664,0.116,59.110,16,10,0,906,12,437175
Literary,1619,7399,140,1316,0.179,0.209,0.662,0.128,51.241,26,4,6,1207,19,432148
Literary,2199,5820,24,1650,0.197,0.198,0.642,0.16,48.298,23,6,9,752,29,465476
Allegories,1632,5055,240,688,0.199,0.217,0.582,0.201,58.780,19,,3,655,11,346050
Literary,1615,5557,66,1536,0.152,0.202,0.698,0.1,55.157,37,12,9,956,27,469013
Literary,419,2996,164,316,0.259,0.226,0.615,0.159,23.068,12,,3,176,3,162051
Literary,2100,5866,54,1100,0.137,0.318,0.542,0.14,51.941,25,6,1,724,25,416978
Literary,1751,8148,39,3726,0.133,0.228,0.647,0.125,60.082,27,9,10,1353,19,543844
Detective and Mystery,2749,6383,8,959,0.143,0.225,0.679,0.096,53.217,23,6,1,1172,10,487344
Detective and Mystery,1900,2943,18,1133,0.150,0.142,0.749,0.109,57.110,17,3,0,787,9,356562
Literary,2564,6952,48,956,0.180,0.236,0.629,0.136,36.567,15,9,5,816,6,501591
Literary,2507,7722,58,1368,0.161,0.225,0.631,0.143,62.821,10,5,5,611,12,368436
Literary,4352,13251,197,1980,0.118,0.234,0.615,0.152,59.436,37,12,4,1443,22,752225
Literary,2658,10577,204,2189,0.133,0.214,0.639,0.147,57.834,33,2,4,1268,7,607858
Literary,1,0,0,0,1.000,0.000,1.000,0,0.000,,,0,,,3
Literary,2736,6101,7,656,0.137,0.232,0.643,0.124,53.012,13,9,0,677,22,497997
Literary,3101,7049,155,322,0.120,0.253,0.598,0.149,69.111,29,7,3,929,38,441755
Literary,1634,8041,21,782,0.157,0.186,0.704,0.11,58.578,55,7,0,875,16,474653
Literary,4052,13059,68,1711,0.118,0.232,0.618,0.15,64.177,36,8,2,1343,20,668046
Literary,6093,13845,113,1769,0.097,0.208,0.634,0.157,66.727,38,6,16,1427,13,807036
Literary,4928,12331,172,1607,0.113,0.213,0.629,0.158,64.455,32,14,2,1219,18,691086
Detective and Mystery,2875,5191,140,841,0.174,0.194,0.658,0.148,43.657,29,8,0,628,15,453191
Literary,2839,6193,65,1295,0.181,0.207,0.665,0.128,41.357,26,12,2,1298,34,511044
Literary,2756,5568,84,567,0.134,0.203,0.659,0.138,51.257,14,2,1,1077,19,536367
Literary,2897,10042,161,3589,0.145,0.230,0.627,0.143,43.868,91,11,2,1861,9,830820
Literary,2076,6792,136,1235,0.170,0.237,0.633,0.13,61.387,22,7,2,755,18,382444
Literary,3790,11675,74,1514,0.114,0.215,0.626,0.159,58.777,71,17,5,1739,37,762532
Western Stories,3104,6240,10,1622,0.139,0.165,0.722,0.113,67.060,54,53,0,991,58,519508
Literary,2498,5381,2,121,0.173,0.221,0.630,0.149,43.108,18,11,4,883,59,515628
Literary,989,2651,126,436,0.208,0.211,0.683,0.105,54.836,25,4,0,364,6,199291
Literary,3453,15232,353,3950,0.095,0.255,0.609,0.136,46.104,59,25,4,2311,66,1142587
Literary,923,4349,104,1058,0.193,0.228,0.644,0.128,48.648,15,3,1,624,4,299751
Literary,4987,13219,88,1583,0.108,0.227,0.616,0.157,65.144,31,13,4,1416,20,710142
Literary,1150,7903,227,1777,0.172,0.247,0.597,0.156,38.404,84,9,7,1209,9,645527
Ghost and Horror,799,5898,12,1630,0.223,0.244,0.631,0.126,30.979,40,5,5,853,16,378507
Love and Romance,1789,6049,43,477,0.154,0.262,0.625,0.113,53.328,52,11,6,673,23,465999
Literary,340,2834,176,263,0.261,0.230,0.623,0.147,22.496,6,,1,170,4,160057
Literary,1728,5337,93,1717,0.164,0.233,0.655,0.112,48.263,29,7,7,731,28,405360
Literary,1116,6517,117,2384,0.153,0.265,0.610,0.125,45.350,33,8,8,787,33,467867
Literary,1540,6819,80,2277,0.151,0.221,0.623,0.157,50.188,39,10,4,943,35,489893
Literary,82,575,3,78,0.508,0.249,0.647,0.104,50.351,1,,0,64,1,29254
Literary,3750,9664,40,1126,0.129,0.184,0.651,0.165,64.787,22,31,6,1158,24,550360
Detective and Mystery,2953,7529,87,830,0.142,0.228,0.630,0.142,65.363,15,10,3,754,13,397459
Literary,3569,5756,115,3312,0.163,0.235,0.642,0.123,57.645,20,7,4,1034,14,560680
Detective and Mystery,2114,5522,173,1011,0.147,0.205,0.644,0.151,45.045,41,6,3,1108,19,532813
Literary,1001,3215,441,1542,0.182,0.252,0.654,0.093,51.052,23,5,0,517,4,288145
Literary,3599,16034,383,4334,0.095,0.266,0.611,0.124,49.693,46,32,7,2264,63,1095084
Literary,2714,9374,38,1158,0.111,0.251,0.647,0.103,42.626,40,16,9,1140,18,682517
Detective and Mystery,1796,5366,5,573,0.136,0.219,0.634,0.148,59.263,14,7,4,570,26,401917
Literary,436,3259,141,285,0.235,0.212,0.606,0.182,38.777,17,,2,293,10,218210
Literary,151,3580,295,289,0.221,0.275,0.622,0.103,38.925,23,2,4,343,2,194990
Literary,441,2887,246,211,0.246,0.244,0.599,0.157,38.401,20,,0,371,4,168499
Detective and Mystery,2791,3169,100,1032,0.184,0.181,0.693,0.125,60.296,22,5,0,396,11,298764
Detective and Mystery,1121,3917,13,747,0.187,0.166,0.683,0.151,43.283,28,3,1,576,6,293202
Literary,498,3239,308,270,0.231,0.248,0.604,0.148,40.890,21,2,2,260,7,177881
Literary,1022,3644,90,355,0.233,0.201,0.674,0.125,49.761,10,,3,561,13,239970
Detective and Mystery,466,1725,43,265,0.285,0.198,0.648,0.153,48.951,15,,2,286,,141382
Literary,818,6935,9,1019,0.170,0.231,0.645,0.124,53.203,28,6,0,647,8,361520
Literary,424,3452,62,373,0.252,0.216,0.635,0.149,27.120,16,6,2,339,3,207004
Literary,340,3132,55,307,0.275,0.198,0.621,0.181,23.046,17,,0,312,4,179166
Literary,1736,6813,104,1803,0.158,0.223,0.643,0.135,53.561,30,12,4,1041,22,508378
Western Stories,1310,3935,18,639,0.199,0.154,0.716,0.13,52.740,21,10,0,714,32,302850
Literary,645,2264,41,411,0.256,0.190,0.648,0.162,59.050,14,2,1,281,14,164776
Detective and Mystery,2312,7273,34,1461,0.139,0.179,0.647,0.174,52.721,24,7,6,748,18,510215
Literary,2285,5731,48,615,0.169,0.217,0.678,0.106,53.789,30,3,3,916,26,430253
Detective and Mystery,2160,4014,47,755,0.181,0.211,0.628,0.161,42.182,30,4,1,489,10,360246
Literary,2127,5991,138,1866,0.190,0.182,0.697,0.121,38.894,73,3,0,1353,46,501018
Literary,2549,6372,20,1199,0.160,0.223,0.649,0.128,61.886,14,7,8,522,7,426713
Literary,4629,7035,414,3616,0.164,0.242,0.632,0.126,43.661,64,16,4,1126,32,636048
Detective and Mystery,2383,6113,22,1481,0.160,0.210,0.637,0.154,54.238,24,6,7,554,31,357549
Literary,1110,4549,267,352,0.182,0.263,0.580,0.157,42.709,28,7,2,567,5,313301
Literary,2891,11221,126,2205,0.142,0.234,0.637,0.129,49.224,62,4,7,1186,17,715231
Literary,2047,7231,67,1423,0.173,0.232,0.626,0.142,51.275,39,7,1,805,13,477461
Detective and Mystery,1765,6426,60,740,0.163,0.196,0.687,0.116,56.146,21,4,2,901,10,369775
Literary,732,2201,41,514,0.315,0.222,0.647,0.131,47.898,5,1,0,243,5,155038
Literary,1627,5747,133,2162,0.189,0.175,0.681,0.144,46.666,23,6,3,1074,21,503552
Literary,1304,4560,46,981,0.172,0.228,0.639,0.133,47.082,26,6,2,1010,19,429918
Love and Romance,1898,6201,125,744,0.153,0.251,0.614,0.135,49.432,59,8,4,793,15,492610
Detective and Mystery,2470,7011,5,819,0.153,0.216,0.682,0.102,43.625,26,7,2,963,12,473339
Literary,2110,14640,131,2915,0.125,0.169,0.677,0.154,56.473,39,13,0,1944,28,798784
Literary,1273,5954,49,952,0.179,0.212,0.632,0.157,64.883,16,6,3,666,18,334953
Literary,3253,12247,233,1569,0.134,0.265,0.593,0.142,54.001,48,15,6,1635,11,669676
Detective and Mystery,954,3234,84,523,0.200,0.207,0.642,0.15,46.751,32,1,2,580,6,283227
Literary,1238,4839,36,999,0.207,0.257,0.635,0.109,43.270,29,7,3,642,4,337603
Literary,1033,4592,22,870,0.207,0.254,0.629,0.117,42.613,31,7,0,591,15,334549
Literary,1127,4596,30,952,0.189,0.215,0.630,0.156,42.984,28,5,0,636,8,369904
Literary,145,2158,17,410,0.363,0.224,0.658,0.118,41.834,13,3,0,246,4,122322
Literary,1076,9776,71,1778,0.184,0.236,0.636,0.128,38.673,55,6,1,1018,11,587810
Sea and Adventure,3307,9508,302,2330,0.111,0.196,0.658,0.146,42.025,97,2,2,1638,21,783355
Detective and Mystery,2972,11377,153,1855,0.134,0.230,0.609,0.16,55.571,50,13,7,1248,19,604998
Detective and Mystery,1609,4022,192,1135,0.162,0.160,0.704,0.136,60.726,10,3,2,730,12,374893
Literary,667,3062,66,470,0.258,0.243,0.658,0.1,47.164,9,5,2,492,13,202279
Ghost and Horror,615,4615,36,395,0.218,0.181,0.679,0.14,47.725,17,7,0,563,7,319196
Literary,4282,9773,115,2058,0.125,0.237,0.628,0.135,60.834,29,7,1,993,22,601030
Literary,6160,13923,79,1725,0.096,0.209,0.634,0.157,66.596,38,7,17,1459,13,816918
Sea and Adventure,1541,8858,46,1287,0.141,0.202,0.701,0.097,47.888,27,2,1,1387,13,587578
Literary,1205,5090,24,1042,0.175,0.200,0.626,0.174,50.045,33,2,2,602,13,393086
Literary,2516,8236,127,2591,0.156,0.236,0.622,0.142,49.400,56,10,2,1466,15,686540
Literary,3040,6720,28,849,0.165,0.199,0.673,0.127,38.073,32,6,2,771,31,529705
Detective and Mystery,3210,7435,25,1093,0.127,0.232,0.660,0.108,44.899,38,6,2,1250,19,624591
Literary,861,12702,218,3491,0.162,0.243,0.655,0.102,41.597,51,20,5,1923,20,668989
Literary,1674,5651,156,940,0.178,0.189,0.673,0.138,57.720,23,7,2,691,14,377034
Literary,1749,3737,33,541,0.210,0.228,0.643,0.129,40.104,15,2,0,533,4,290285
Literary,2038,6849,122,767,0.129,0.252,0.608,0.14,52.210,31,12,2,1406,19,635506
Literary,527,3570,62,317,0.252,0.237,0.645,0.118,29.272,29,1,0,364,2,216468
Literary,2052,7929,57,1608,0.125,0.206,0.661,0.134,64.647,31,7,1,1202,31,605261
Humorous and Wit and Satire,1076,4015,40,1004,0.190,0.229,0.620,0.151,69.153,20,9,0,644,19,269240
Detective and Mystery,1338,2752,32,660,0.159,0.151,0.740,0.109,57.133,22,1,1,532,9,258737
Detective and Mystery,2259,7274,154,534,0.139,0.191,0.677,0.132,44.902,40,9,0,1068,21,539448
Literary,1924,6428,49,1480,0.169,0.180,0.695,0.125,38.368,60,4,4,1355,12,523877
Literary,4204,7798,141,2264,0.159,0.202,0.690,0.108,42.424,69,16,7,1794,31,679791
Literary,2780,10236,138,1578,0.112,0.220,0.615,0.165,54.336,59,9,7,1845,23,700886
Literary,2466,8498,125,1618,0.177,0.220,0.635,0.144,42.097,37,7,2,1145,21,657085
Literary,873,10024,259,1765,0.184,0.243,0.653,0.104,42.553,39,18,1,1302,16,572848
Literary,813,9741,287,1720,0.173,0.228,0.638,0.134,46.213,53,25,2,1370,23,574974
Love and Romance,5646,11219,33,1263,0.095,0.254,0.651,0.095,59.702,78,24,7,1665,41,947742
Literary,2818,6614,304,1197,0.132,0.247,0.634,0.12,55.326,30,8,1,1100,12,361098
